corpus,V,s,s_over_V,rmse,bic,k,w_gate
Dubliners,7157,20.69984111685882,0.002892251099183851,0.15512259825144556,-26594.822048533042,999.9999999999999,4.059034003976413
Dubliners,7157,29.93456911158297,0.004182558210365093,0.14885738639502033,-27184.946062720806,999.9999999999999,3.6452410892266163
Dubliners,7157,43.2891452082854,0.00604850429066444,0.13478297934773267,-28606.652403890632,999.9999999999999,2.717656409146395
Dubliners,7157,62.601538905696316,0.008746896591546222,0.11452160936808548,-30938.43723219558,546.0208381255475,1.8338353725799268
Arabian Nights (Vol 1),13883,83.97138506729442,0.00604850429066444,0.15424787945065968,-51814.20492142715,999.9999999999999,6.345015440750917
Dubliners,7157,65.3788909258547,0.009134957513742449,0.11023190636504188,-31484.90491488392,522.3674150826341,0.4253363224064221
Arabian Nights (Vol 1),13883,1110.64,0.08,0.16399575474365036,-50112.714810021316,999.8804426961243,1.9918126705872228
Dubliners,7157,130.917290265755,0.018292202077093058,0.14917210812376405,-27154.7146354114,999.9999876262566,1.5803661225210477
Dubliners,7157,90.52968485530039,0.012649110640673521,0.13085354998680093,-29030.16309415666,30.549582182770003,7.134352766878469
Dubliners,7157,189.3228383366505,0.026452820781982744,0.1486772766182933,-27202.275752195394,999.9999953896677,1.5474415936220578
Jane Eyre,12541,1003.28,0.08,0.14794989922997853,-47843.80099377911,999.969168834422,1.595926491695857
Complete Sherlock Holmes,7817,625.36,0.08,0.15053967229700527,-29522.75003729601,999.9999999993435,5.83124762910017
Dubliners,7157,14.314,0.002,0.1578215292253663,-26347.918832105264,240.787803937489,6.245953569700837
Dubliners,7157,572.5600000000001,0.08,0.14829997532167224,-27238.646845471445,999.9994213866339,1.342264347871925
The Iliad,12300,24.6,0.002,0.1870972580421543,-41147.96065000677,999.9999999999999,9.999999999999998
Dubliners,7157,395.9268959472903,0.05532023137449913,0.1476470698432866,-27301.804794385334,999.9896531671035,1.4120403484664787
Dubliners,7157,273.7845936398918,0.03825409999160148,0.14809557965273576,-27258.38884240651,999.9999754509663,1.4918258447491513
The Iliad,12300,74.39660277517261,0.00604850429066444,0.1728040460596333,-43102.930210585764,999.9999999999999,9.999999999999998
The Iliad,12300,51.44546598749064,0.004182558210365093,0.1828297538176476,-41715.56051647292,999.9999999999999,9.999999999999998
The Iliad,12300,35.57468851996137,0.0028922510991838514,0.1867943838617584,-41187.81554716095,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,646.9830906857339,0.026452820781982744,0.1554367694942875,-90966.98681876238,999.9783289740598,2.1192756218419064
The Iliad,12300,146.4618952784701,0.01190747116085123,0.10842124333359504,-54569.83225075218,88.40611961512924,4.16651960931567
The Iliad,12300,107.58682807601853,0.008746896591546222,0.14362563602284167,-47652.65362498034,999.9997876449387,6.11386519221074
The Iliad,12300,155.5840608802843,0.012649110640673521,0.11376721252915561,-53385.826285188385,36.72454897394329,6.309686049155389
Democracy in America,9301,18.602,0.002,0.19391276270426783,-30431.492098740437,999.9999999999999,9.999999999999998
Democracy in America,9301,26.900827473508997,0.002892251099183851,0.19524660861409326,-30303.974682448592,999.9999999999999,9.999999999999998
The Iliad,12300,984.0,0.08,0.1549273720244719,-45789.29525982008,999.999999999688,9.9999999927792
Democracy in America,9301,56.25713840746996,0.00604850429066444,0.18398039943313313,-31409.56952203243,999.9999999999999,9.999999999999998
Democracy in America,9301,81.35488519797141,0.008746896591546222,0.16065773662844296,-33931.126138359374,999.9999999999999,9.999999999999998
Democracy in America,9301,116.08829555683555,0.012481270353385178,0.11239680485858233,-40576.51823793552,202.43594772271297,3.1985307349023606
Democracy in America,9301,38.901973914605726,0.004182558210365093,0.19294866197838278,-30524.208703117227,999.9999999999999,9.999999999999998
Democracy in America,9301,117.64937806890443,0.012649110640673521,0.1125849288183114,-40545.40919937238,164.31236060856583,3.393240611361937
Democracy in America,9301,355.8013840218854,0.03825409999160148,0.14792262404112358,-35467.40795293407,999.9945734289118,1.4398475064097396
Democracy in America,9301,246.0376860932215,0.026452820781982744,0.14878721164388234,-35358.99830706209,999.9446254379548,1.428683863885345
Democracy in America,9301,514.5334720142164,0.05532023137449913,0.146716315325888,-35619.72916446023,999.9990095467482,1.4284061150510319
Origin of Species,6887,13.774000000000001,0.002,0.17497588301884195,-23930.021034121335,999.9999999999999,9.999999999999998
Origin of Species,6887,19.918933320079184,0.0028922510991838514,0.17442654922577988,-23973.33229472966,999.9999999999999,9.999999999999998
Jane Eyre,12541,109.69483015458117,0.008746896591546222,0.14483129579718312,-48378.15067936213,999.9999999999999,8.47063643078737
Democracy in America,9301,744.08,0.08,0.1453200139100106,-35797.61249106218,999.9890951839033,1.3772863471309476
Origin of Species,6887,41.656049049806,0.00604850429066444,0.16294853672689014,-24910.918920187276,999.9999999999999,9.999999999999998
Origin of Species,6887,28.805278394784395,0.004182558210365093,0.17083354361862738,-24260.02541069375,999.9999999999999,9.999999999999998
Origin of Species,6887,60.23987682597883,0.008746896591546222,0.14410434393035834,-26603.69913420339,999.999999999992,9.999999999998126
Origin of Species,6887,87.11442498231854,0.012649110640673521,0.1101361590431225,-30306.42909212859,230.56653681993004,3.363657464549011
Origin of Species,6887,89.72849211992552,0.013028676073751346,0.10935616526189179,-30404.32481218633,132.3215114958512,3.8876954309053176
Origin of Species,6887,182.18057672551515,0.026452820781982744,0.13873388523647137,-27126.836265194866,999.9999996810835,1.341887473608754
Origin of Species,6887,263.4559866421594,0.03825409999160148,0.1377227524723823,-27227.592788250495,999.9997830117256,1.2511415836370272
Origin of Species,6887,380.9904334761755,0.05532023137449913,0.13661846606492462,-27338.480413574474,999.9999536938045,1.2250140695822807
Wealth of Nations,9478,18.956,0.002,0.2025258313116961,-30188.195309900177,999.9999999996405,9.999999999999995
Origin of Species,6887,550.96,0.08,0.13540507089596954,-27461.362544249314,999.999999356711,1.2053297179321527
Wealth of Nations,9478,27.41275591806454,0.002892251099183851,0.201786607104696,-30257.511751101003,999.9999999999999,9.999999999999998
Wealth of Nations,9478,39.64228671784035,0.004182558210365093,0.1968845992682338,-30723.696127689036,999.9999999999999,9.999999999999998
Wealth of Nations,9478,57.327723666917564,0.00604850429066444,0.1853828698817889,-31864.743319447327,999.9999999999999,9.999999999999998
Wealth of Nations,9478,119.88827065230363,0.012649110640673521,0.1111776675582535,-41556.82713390387,329.01518374488177,2.810003763410497
Wealth of Nations,9478,124.38464467272836,0.013123511782309385,0.10973353563688165,-41804.66748122041,176.1768434293838,3.4700547111811577
Wealth of Nations,9478,173.373491286688,0.018292202077093058,0.14406475303054692,-36644.6955031459,427.7671906852366,2.1111218893754127
Wealth of Nations,9478,250.71983537163246,0.026452820781982744,0.14231121802544947,-36876.84085298973,999.9863365782358,1.9338900892937896
Origin of Species,6887,125.97839570493989,0.018292202077093058,0.13957578842142598,-27043.50168547953,999.9999985720319,1.3994192112717667
Wealth of Nations,9478,362.5723597203988,0.03825409999160148,0.14058356625989668,-37108.37410023608,999.9871697340214,1.8409911653426152
Canterbury Tales,17653,1412.24,0.08,0.1544733839137609,-65854.18993868145,999.5160999784704,2.2481825246601512
Democracy in America,9301,170.13577151904252,0.018292202077093058,0.1494595556183029,-35275.128403534516,999.8742850025844,1.4225685610950154
Wealth of Nations,9478,524.3251529675027,0.05532023137449913,0.13888974244705363,-37338.15287585872,999.9999851497607,1.6520916448571714
Wealth of Nations,9478,758.24,0.08,0.1375960453899474,-37515.54716854637,999.9782711299436,1.5760408884914605
Jane Eyre,12541,75.85429230922274,0.00604850429066444,0.16037892571202444,-45820.54633361639,999.9999999999995,9.999999999999998
Les Miserables,22677,45.354,0.002,0.24141366841907158,-64368.808958829424,999.9999999999999,9.999999999999998
Les Miserables,22677,65.5875781761922,0.0028922510991838514,0.24201631538664803,-64255.731716450835,999.9999999999997,9.999999999999998
The Iliad,12300,470.5254298966982,0.03825409999160148,0.15542395346154603,-45710.57213042498,999.8455498950487,1.6555963925865294
Les Miserables,22677,277.122704944508,0.01222043061006782,0.11239633036253133,-99041.06388762713,462.14513669968727,2.6937200784797124
Les Miserables,22677,286.84388199855346,0.012649110640673523,0.11379916549611692,-98478.49742134307,309.05336892510445,3.13163654837969
The Iliad,12300,325.36969561838777,0.026452820781982744,0.15660317236966112,-45524.63366004675,999.9577787952959,1.6814615864878457
Wealth of Nations,9478,82.9030858946751,0.008746896591546222,0.16491099275646218,-34082.92445041678,999.9999999999999,9.999999999999998
The Iliad,12300,224.9940855482446,0.018292202077093058,0.15741719530884044,-45397.094103891504,999.8765471791028,1.694214791865878
Decline and Fall Vol 1,15983,31.966,0.002,0.23399361474788685,-46342.269226991084,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,46.22684931825549,0.002892251099183851,0.2338382182517322,-46363.505082392025,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,66.84982787626528,0.004182558210365093,0.22821643827787502,-47141.39871210049,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,96.67324407768974,0.00604850429066444,0.2138732757904313,-49216.33731097134,999.9999999999999,9.999999999999998
Les Miserables,22677,414.81226650223925,0.018292202077093058,0.157035275455277,-83872.90951598575,999.9597956390545,1.5400036670220374
The Iliad,12300,680.4388459063393,0.05532023137449913,0.1539033022184579,-45952.44103298082,999.8585249572725,1.6074227854358794
Decline and Fall Vol 1,15983,181.41820908061865,0.011350698184359548,0.109301697168534,-70674.20999916186,294.0149761747805,2.8939495041887913
Les Miserables,22677,94.84787253644922,0.004182558210365093,0.23622254880087645,-65354.694456624035,999.9999999998048,9.999999999999996
Decline and Fall Vol 1,15983,202.17073536988488,0.012649110640673521,0.12345719513964344,-66781.3081987021,91.75417073048084,4.9300640745657
Decline and Fall Vol 1,15983,139.80164822268327,0.008746896591546222,0.17041489706599985,-56477.33863524822,999.9988163030106,5.724353863639239
Les Miserables,22677,599.8706168730226,0.02645282078198274,0.15590399115370943,-84200.82293047791,999.7380798617355,1.7359536700238882
Decline and Fall Vol 1,15983,292.36426579817834,0.018292202077093058,0.1743421220975803,-55749.039579489436,999.732299014343,1.4171921568874313
Emile,11174,22.348,0.002,0.183735928851835,-37779.3347596783,999.9999999999997,9.999999999999998
Emile,11174,32.31801378228035,0.002892251099183851,0.1846962600920617,-37662.832826328944,999.9999999999992,9.999999999999998
Emile,11174,46.73590544261955,0.004182558210365093,0.18171324874655223,-38026.71972782264,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,611.4152801657665,0.03825409999160148,0.17132669016471058,-56306.762688722585,999.9579969563787,1.4381381526166017
Emile,11174,67.58598694388445,0.00604850429066444,0.1722614875462691,-39220.46696445323,999.9999999999999,9.999999999999998
Emile,11174,97.73782251393749,0.008746896591546222,0.15136809697074716,-42110.041019505494,999.9999999997162,7.355672149111686
Emile,11174,132.0791651941298,0.011820222408638788,0.10816686949468092,-49619.85123006214,292.5026914450592,2.619947859682694
Emile,11174,141.34116229888593,0.012649110640673521,0.11294406892559955,-48654.02411980249,118.61647293367088,3.3356844222647304
Les Miserables,22677,1254.4968868795168,0.05532023137449913,0.15284043816061493,-85100.91329392059,999.9553390074764,1.9522026546676934
Decline and Fall Vol 1,15983,422.7954345584302,0.026452820781982744,0.17310117399509647,-55977.38369301823,999.8087514603941,1.4356333750768753
Les Miserables,22677,867.4882255095467,0.03825409999160148,0.15438377843285883,-84645.23799401507,999.9758441539681,1.9223293271138195
Decline and Fall Vol 1,15983,884.1832580586196,0.05532023137449913,0.16909878439203238,-56725.169993854186,999.9156122523208,1.406191570310433
Ulysses,28990,57.980000000000004,0.002,0.1735305454764462,-101453.7947585538,271.7792426785461,9.999999999999998
Les Miserables,22677,198.35337400649368,0.008746896591546222,0.18676637411106348,-76009.06857932427,999.9999999999972,9.999999999999998
Ulysses,28990,121.25236251848403,0.004182558210365093,0.1666825736266095,-103788.20822067733,999.9999999999999,9.99999999999977
Les Miserables,22677,137.1619317993975,0.00604850429066444,0.22036934638245123,-68505.40863614623,999.9999999999999,9.999999999999998
Emile,11174,618.1482653786533,0.05532023137449913,0.15187229644218367,-42035.724665773574,999.973190063203,1.5220255257221618
Emile,11174,204.39706600943782,0.018292202077093058,0.15530268240643835,-41536.5599681739,999.9482237788883,1.7197292205773909
Emile,11174,427.45131330615493,0.03825409999160148,0.15334571911406025,-41819.95558279824,999.9594620721687,1.6229919125482968
Emile,11174,893.9200000000001,0.08,0.15037091894989027,-42257.75155319953,999.9918182771893,1.35057456139263
Ulysses,28990,274.054700728531,0.009453421894740634,0.10796450854718533,-128968.26695432838,613.8478733137276,1.9965158540476986
Emile,11174,295.5838194178752,0.026452820781982744,0.1544952752459221,-41653.048638496,999.9376714225741,1.6823808737970258
Ulysses,28990,766.8672744696797,0.026452820781982744,0.16526356284670127,-104283.91964579863,107.74641167814038,6.613649701975249
Ulysses,28990,530.2909382149278,0.018292202077093058,0.16543495548429643,-104223.82051945436,999.9999993381701,3.2106703808482724
Collected Poe,9312,18.624,0.002,0.17108103647038683,-32800.61693073578,999.9999999999999,9.999999999999812
Collected Poe,9312,26.93264223560002,0.002892251099183851,0.1698608351109327,-32933.92485820881,999.9999999999999,9.999999999999998
Collected Poe,9312,38.94798205491974,0.004182558210365093,0.16626527448575834,-33332.384088245104,999.9999999999999,9.999999999999998
Collected Poe,9312,56.32367195466727,0.00604850429066444,0.15666022708118307,-34440.60987295273,999.9999999999968,9.999999999879154
Ulysses,28990,1603.7335075467297,0.05532023137449913,0.1634478192220318,-104924.46872245491,999.9760051832692,2.8757611651450286
Collected Poe,9312,81.45110106047842,0.008746896591546222,0.119858578979487,-39427.4980514866,999.9999999999999,1.7911588995060408
Collected Poe,9312,100.9569555396059,0.010841597459150119,0.11028189304672702,-40978.370445167515,109.4478320610504,3.239472067825302
Collected Poe,9312,117.78851828595182,0.012649110640673521,0.12855700504567544,-38122.70274007201,53.79980516955754,5.330360765835748
Collected Poe,9312,170.33698574189054,0.018292202077093058,0.1589240126997604,-34173.413598768464,999.9784628733382,1.6946218669576292
Ulysses,28990,2319.2000000000003,0.08000000000000002,0.1635641783996662,-104883.20720634519,165.11182781881556,6.108598294315434
Collected Poe,9312,246.32866712182332,0.026452820781982744,0.15809449153959515,-34270.878176634134,999.9964269473298,1.5705521078352647
Ulysses,28990,366.69771747312535,0.012649110640673521,0.13968370514225628,-114033.89050676339,123.91491518279865,7.687577508355243
Principia Ethica,3814,7.628,0.002,0.1562703148724823,-14084.631475076936,999.9999999999999,9.999999999999996
Principia Ethica,3814,11.031045692287208,0.002892251099183851,0.15362745565531882,-14214.740309560222,999.9999999999999,9.999999999999972
Principia Ethica,3814,15.952277014332465,0.004182558210365093,0.1489904588736979,-14448.52541232709,999.9999999999999,9.925468400140968
Principia Ethica,3814,23.068995364594176,0.006048504290664441,0.13850280998880077,-15005.305759268804,999.9999999999989,9.068553171490544
Principia Ethica,3814,33.360663600157295,0.008746896591546224,0.11213474289470476,-16616.25853597927,824.0469290054431,1.0479155930959736
Principia Ethica,3814,46.15587366688076,0.012101697343177965,0.10200351612984447,-17338.5837974426,45.430057831023994,3.382827062117085
Collected Poe,9312,356.222179121793,0.03825409999160148,0.15697199860750652,-34403.58284356454,999.9478483450432,1.4203479053970405
Ulysses,28990,1108.986358756527,0.03825409999160148,0.16389943281395591,-104764.48831932255,999.8698931561163,2.951703546125648
Principia Ethica,3814,69.76645872203292,0.018292202077093058,0.1405143136449073,-14895.319565455347,999.9999999708284,0.8771423318352582
Principia Ethica,3814,48.24370798352881,0.012649110640673521,0.10425511962154481,-17172.036455880563,20.000000007870227,4.734863883177521
Collected Poe,9312,515.1419945593359,0.05532023137449913,0.1556988150500496,-34555.25610882358,999.9785214490096,1.2136232335767263
Principia Ethica,3814,210.99136246233968,0.05532023137449913,0.13811817783236063,-15026.518726536995,999.9998197092013,0.8785569799198295
Critique of Pure Reason,6537,13.074,0.002,0.15814530240209,-24032.540164195918,999.9999999999884,8.993353629428356
Principia Ethica,3814,305.12,0.08,0.1375525332934151,-15057.822324810584,999.9999826342607,0.8762978579329754
Critique of Pure Reason,6537,18.906645435364833,0.002892251099183851,0.15681391105177314,-24143.07329643524,999.9999999999999,8.563206556477052
Critique of Pure Reason,6537,27.341383021156613,0.004182558210365093,0.15369495811211872,-24405.729640717425,999.9999999999999,8.466932002148265
Principia Ethica,3814,145.90113736796806,0.03825409999160148,0.1390656871886036,-14974.368291873452,999.9999996998994,0.879187128510414
Critique of Pure Reason,6537,39.53907254807344,0.006048504290664439,0.1458650416784335,-25089.343272043647,999.9999999999999,7.460052186226594
Critique of Pure Reason,6537,57.178463018937656,0.008746896591546222,0.11709516132008084,-27961.63404581822,999.9999999997658,1.9856348111780888
Critique of Pure Reason,6537,72.70946642745211,0.011122757599426665,0.1044123961427373,-29460.418362610042,215.1242249649152,5.780515366263606
Critique of Pure Reason,6537,119.57612497795732,0.018292202077093058,0.1479303792889662,-24905.523737688218,999.9999993022336,1.4174765594744034
Critique of Pure Reason,6537,82.6872362580828,0.012649110640673521,0.10872247468604058,-28931.57341270443,21.925723026320355,5.444127476588384
Critique of Pure Reason,6537,250.06705164509887,0.03825409999160148,0.1463470223585101,-25046.214175737376,999.9999960712961,1.3929745686968267
Critique of Pure Reason,6537,361.62835249510084,0.05532023137449914,0.14524416613579427,-25145.11161557005,999.9999999614191,1.3529717022455028
Critique of Pure Reason,6537,172.9220894518212,0.026452820781982744,0.14727237404748095,-24963.807576015286,999.9999999919852,1.4095025938459809
Collected Poe,9312,744.96,0.08,0.15450462871362383,-34698.64997917928,999.9999999999999,7.788348137448267
Critique of Pure Reason,6537,522.96,0.08,0.1444023481487541,-25221.107416028677,999.9997525755251,1.300911459181915
Ulysses,28990,253.57253218892498,0.008746896591546222,0.11201906603290573,-126830.7449250283,956.4695123441999,1.5282851448756438
Principia Ethica,3814,100.89105846248219,0.026452820781982744,0.1399108749539244,-14928.14855248526,999.9999907861928,0.8785561188691816
Les Miserables,22677,1814.16,0.08,0.15121458545338237,-85585.95462375855,999.3915449562516,1.8656844255223561
Ulysses,28990,175.34613938636213,0.00604850429066444,0.15443426057499135,-108213.40063184443,999.9999999999999,7.325142944133067
Decline and Fall Vol 1,15983,1278.64,0.08,0.16802264839806166,-56929.250047385176,999.5547155211473,1.3875002916886434
Ulysses,28990,83.84635936533984,0.002892251099183851,0.17318899671173812,-101568.02543420813,999.9999999999999,9.999999999999998
