test,step,rank,expression,math,rmse,cosine_vs_shifted_kl,cosine_vs_unshifted_negative_entropy,is_shifted_kl,f_at_1,fprime_at_1,fsecond_min_continuous_grid,fsecond_positive_continuous_grid,bregman_conditions_pass,second_diff_min_on_integer_support,second_diff_positive_on_integer_support
remainder_after_shifted_kl_fit,1,1,"mul[x,x]",(x*x),2.5635466053468829,0.14119560112184346,-0.87960796997548385,False,1,1.9999999999990905,1.9999999908832251,True,False,0.0020055555555553717,True
remainder_after_shifted_kl_fit,1,2,"sub[x,1]",(x-1),2.6498107072582835,-0.94052422486939424,0.68801215104164204,False,0,1,-3.5902303352486342e-09,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,3,"div[x,1]",(x/1),2.6592286070025359,0.2937091422910747,-0.9695857246054973,False,1,0.99999999999909051,-7.1795511757954955e-09,True,False,-1.1102230246251565e-16,True
remainder_after_shifted_kl_fit,1,4,"pow[x,x]","pow(x,x)",2.7273513421047122,0.66491794416427918,-0.96318918492960559,False,1,0.9999999638994268,1.4016428987142717,True,False,0.0014064978504417791,True
remainder_after_shifted_kl_fit,1,5,sqrt[x],sqrt(x),2.7457667544016329,0.452025288219296,-0.99801709554609308,False,1,0.49999999548435881,-22.265322082997045,False,False,-0.011290644287359958,False
remainder_after_shifted_kl_fit,1,6,"add[x,x]",(x+x),2.7581502457673146,0.2937091422910747,-0.9695857246054973,False,2,1.999999999998181,-1.4359102351590991e-08,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,7,"sub[1,x]",(1-x),2.8433761850628705,0.94052422486939424,-0.68801215104164204,False,0,-1,-2.3928805603645742e-09,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,8,neg[x],(-x),2.8521549975032352,-0.2937091422910747,0.9695857246054973,False,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-1.1102230246251565e-16,True
remainder_after_shifted_kl_fit,1,9,log[x],log(x),2.9110055221270867,-0.99450864946369832,0.53321364456724019,False,0,0.9999999759134055,-397.72679873318702,False,False,-0.16293550938299095,False
remainder_after_shifted_kl_fit,1,10,"add[1,x]",(1+x),3.0201815813458386,0.56125730255809503,-0.99109506334268904,False,2,0.99999999999818101,-1.4358192856889218e-08,True,False,-2.2204460492503131e-16,True
remainder_after_shifted_kl_fit,1,11,"eml[x,1]","EML(x,1)",3.0631786684978199,0.49793082358062402,-0.99085400821135028,False,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.0010881991322657658,True
remainder_after_shifted_kl_fit,1,12,"eml[x,x]","EML(x,x)",3.6311770211147762,0.77485093955679141,-0.91395810375934183,False,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.0037023865621086394,True
remainder_after_shifted_kl_fit,1,13,"eml[1,x]","EML(1,x)",4.557266513740303,0.82880795920185335,-0.87924492606935534,False,2.7182818284590451,-0.9999999759165803,1.0002850835517165,True,False,0.0010700085939854276,True
remainder_after_shifted_kl_fit,1,14,"div[1,x]",(1/x),5.3846709138282778,0.93492756948318823,-0.4419481341436054,False,1,-0.9999999277306415,2.0008553455445508,True,False,0.0022111833199600639,True
remainder_after_shifted_kl_fit,2,1,"mul[mul[x,x],eml[x,1]]","((x*x)*EML(x,1))",2.4154275347196661,0.097910068484155871,-0.82090917236369543,False,2.7182818284590451,8.1548450600712385,2.316369029885152,True,False,0.0025400733970919126,True
remainder_after_shifted_kl_fit,2,2,"mul[mul[x,x],add[x,x]]",((x*x)*(x+x)),2.4194181877445642,0.079010701735959171,-0.79904640300672791,False,2,5.9999998555413185,0.60171034207029095,True,False,0.00098272222222222185,True
remainder_after_shifted_kl_fit,2,3,"eml[mul[x,x],eml[1,x]]","EML((x*x),EML(1,x))",2.4517332311605298,-0.3394126666506363,-0.55503268571393927,False,1.7182818284590451,5.8044424388099287,-55.431424730555591,False,False,-0.022939178855233111,False
remainder_after_shifted_kl_fit,2,4,"mul[mul[x,x],add[1,x]]",((x*x)*(1+x)),2.4668641569110594,0.11286859228668235,-0.8453374656810978,False,2,4.9999999277697498,2.3008551710736356,True,False,0.0024969166666666664,True
remainder_after_shifted_kl_fit,2,5,"add[mul[x,x],sub[x,1]]",((x*x)+(x-1)),2.4852332994755817,-0.76021807609043035,-0.054049544029364557,False,1,2.9999999999990905,1.9999999908832251,True,False,0.0020055555555552607,True
remainder_after_shifted_kl_fit,2,6,"pow[mul[x,x],div[1,x]]","pow((x*x),(1/x))",2.4955793428368547,0.048003487685322074,-0.76180728866024228,False,1,2.0000000723239282,-1.9991444184724969,False,False,-0.0017800794702964584,False
remainder_after_shifted_kl_fit,2,7,"mul[mul[x,x],eml[x,x]]","((x*x)*EML(x,x))",2.4966287059926704,0.13768194717987722,-0.86549773537795216,False,2.7182818284590451,7.1548450841510203,3.6771974482380756,True,False,0.0036958054974866872,True
remainder_after_shifted_kl_fit,2,8,"pow[div[x,1],eml[1,x]]","pow((x/1),EML(1,x))",2.5132691857339422,0.059969308322351228,-0.77543188410810926,False,1,2.7182819121780994,0.00097616727730123407,True,False,1.9349925564498671e-05,True
remainder_after_shifted_kl_fit,2,9,"add[mul[x,x],mul[x,x]]",((x*x)+(x*x)),2.5172716265343111,0.14119560112184346,-0.87960796997548385,False,2,3.999999999998181,3.9999999817664502,True,False,0.0040111111111107434,True
remainder_after_shifted_kl_fit,2,10,"mul[mul[x,x],mul[x,x]]",((x*x)*(x*x)),2.5178243792116133,0.049026851716766177,-0.73398349615087755,False,1,3.9999997111253833,0.030171214779063593,True,False,8.2266774691358007e-05,True
remainder_after_shifted_kl_fit,2,11,"pow[mul[x,x],eml[1,x]]","pow((x*x),EML(1,x))",2.5197209763446593,0.019657286121379843,-0.63112077168757597,False,1,5.4365632997933062,1.5940252312413249e-10,True,False,5.4197622602610872e-10,True
remainder_after_shifted_kl_fit,2,12,"pow[mul[x,x],eml[x,x]]","pow((x*x),EML(x,x))",2.5222594210798674,0.036271442794370633,-0.69414853770747009,False,1,5.436561167896798,2.0896944829183334e-06,True,False,5.4945791257701356e-07,True
remainder_after_shifted_kl_fit,2,13,"div[mul[x,x],div[1,x]]",((x*x)/(1/x)),2.5275037257496424,0.079010701735959171,-0.79904640300672791,False,1,2.9999999277706593,0.30085517103514547,True,False,0.00049136111111111093,True
remainder_after_shifted_kl_fit,2,14,"pow[mul[x,x],add[1,x]]","pow((x*x),(1+x))",2.5389292721392565,0.094815991646640105,-0.79852833135646106,False,1,3.9999992059629221,0.73277809995465759,True,False,0.00073777839627260991,True
remainder_after_shifted_kl_fit,2,15,"mul[mul[x,x],sqrt[x]]",((x*x)*sqrt(x)),2.5406980198031257,0.10399025036719506,-0.83730128396318482,False,1,2.4999999774263415,0.83971999746727022,True,False,0.0010711963210443343,True
remainder_after_shifted_kl_fit,2,16,"pow[div[x,1],div[1,x]]","pow((x/1),(1/x))",2.5414024047482693,0.09802927644632535,-0.85922753981534838,False,1,0.99999996389215084,-2.343438747791879,False,False,-0.0023429644086704338,False
remainder_after_shifted_kl_fit,2,17,"pow[mul[x,x],eml[x,1]]","pow((x*x),EML(x,1))",2.5433483487699586,0.087586689172039559,-0.76979298933768214,False,1,5.4365605279845113,0.54631884417767651,True,False,0.00055064073914808456,True
remainder_after_shifted_kl_fit,2,18,"mul[add[x,x],log[x]]",((x+x)*log(x)),2.546600965595617,-0.72881938160672366,0.84669153586766333,False,0,2.0000000240831612,2.0002850871005649,True,False,0.0020715110267380821,True
remainder_after_shifted_kl_fit,2,19,"mul[mul[x,x],pow[x,x]]","((x*x)*pow(x,x))",2.5471285966408255,0.11652106299748773,-0.84037765949420795,False,1,2.9999997472941686,1.2261230942688144,True,False,0.0012325146241304701,True
remainder_after_shifted_kl_fit,2,20,"pow[div[x,1],eml[x,x]]","pow((x/1),EML(x,x))",2.5473851459769126,0.10460614639449428,-0.84582089850877518,False,1,2.7182813788031126,0.084527279338828976,True,False,0.00051883882714191657,True
