K,c,b,zm_rmse,residual_rmse,winner_expr,winner_math,winner_rmse,top5_json,cosine_vs_IS,cosine_vs_exp,cosine_vs_Euclidean,cosine_vs_xx_sqrtx,closest_generator,bregman_conditions_pass,is_rank,is_rmse,exp_rank,exp_rmse,is_minus_exp_rmse,both_is_exp_in_top5
1000,255.74927297999844,1.5830449121586152,0.063597957774877339,0.063597957774877339,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.064084768446106027,"[{""rank"":1,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.06408476844610603},{""rank"":2,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.06480684468530219},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.06773278855338968},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.07057880416254465},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.07413203450686764}]",0.91074867628926104,1.0000000000000002,0.99820659912357945,-0.33728223737239249,exp,True,2,0.064806844685302192,1,0.064084768446106027,0.00072207623919616493,True
1100,278.2559402207126,1.5824665830845468,0.067946138639432357,0.067946138639432357,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.06763053601493757,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.06763053601493757},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.06803292860764185},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.07127460296926101},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.07379859275024113},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.07699502546989069}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.06763053601493757,2,0.068032928607641846,-0.00040239259270427596,True
1200,299.35772947204902,1.5805615979870233,0.07215169535525108,0.07215169535525108,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.070575528901091089,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.07057552890109109},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.07190660280110871},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.07480976065150345},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.07704345070089207},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.07992059962852528}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.070575528901091089,2,0.071906602801108707,-0.0013310739000176181,True
1300,320.25395772304705,1.5783843892576956,0.076211762812516917,0.076211762812516917,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.073455111257653777,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.07345511125765378},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.07563516248235486},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.07822531170860252},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.08018057206404997},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.08275189783103316}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.073455111257653777,2,0.075635162482354856,-0.0021800512247010795,True
1400,338.77747744402541,1.5743361444791033,0.080123794048642019,0.080123794048642019,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.076461189181409761,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.07646118918140976},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.07929990475920622},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.0816440095982433},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.0833598607871435},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.08567138398123082}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.076461189181409761,2,0.079299904759206216,-0.0028387155777964551,True
1500,354.36477855785466,1.5681537416403062,0.083887196125257996,0.083887196125257996,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.079578721421165469,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.07957872142116547},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.08289897081814203},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.08505829397741618},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.08657670678427895},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.08867535823584695}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.079578721421165469,2,0.082898970818142029,-0.0033202493969765601,True
1600,370.66925826881584,1.5626055368454967,0.087501809696427943,0.087501809696427943,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.082464105922635242,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.08246410592263524},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.08629782422390606},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.0882602112701301},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.0895725828393965},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.09145006784173705}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.082464105922635242,2,0.086297824223906056,-0.0038337183012708137,True
1700,383.38806025068146,1.554635409937962,0.090966641363106851,0.090966641363106851,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.085451796833557719,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.08545179683355772},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.08963372828755668},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.0914564662772877},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.09260660682646549},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.0943107171723802}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.085451796833557719,2,0.089633728287556683,-0.0041819314539989633,True
1800,394.31980996674054,1.5456272238393427,0.094281234385482984,0.094281234385482984,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.088370987711484564,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.08837098771148456},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.09284026614984123},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.09454425888647852},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.09555030502910732},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.0971009756056326}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.088370987711484564,2,0.092840266149841227,-0.0044692784383566636,True
1900,403.28921278524967,1.5355191831432,0.097444415724356442,0.097444415724356442,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.091219070799092014,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.09121907079909201},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.09591783382010999},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.09752313178167296},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.09840330268862915},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.09982032024779317}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.091219070799092014,2,0.095917833820109988,-0.0046987630210179737,True
2000,412.46263829013481,1.5258106038607882,0.10045452255340238,0.10045452255340238,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.09385299976174602,"[{""rank"":1,""expression"":""sub[sub[x,1],log[x]]"",""math"":""((x-1)-log(x))"",""rmse"":0.09385299976174602},{""rank"":2,""expression"":""eml[sub[x,1],eml[x,1]]"",""math"":""EML((x-1),EML(x,1))"",""rmse"":0.09880922697310573},{""rank"":3,""expression"":""sub[pow[x,x],sqrt[x]]"",""math"":""(pow(x,x)-sqrt(x))"",""rmse"":0.10030708115045492},{""rank"":4,""expression"":""add[neg[x],pow[x,x]]"",""math"":""((-x)+pow(x,x))"",""rmse"":0.10105457442146967},{""rank"":5,""expression"":""mul[sub[1,x],sub[1,x]]"",""math"":""((1-x)*(1-x))"",""rmse"":0.10233264990002948}]",1,0.91074867628926104,0.93091848013196521,-0.05848186170394945,IS,True,1,0.09385299976174602,2,0.098809226973105735,-0.004956227211359715,True
